Injected_Bus,Injected_Phase,Penetration_Scenario,Affected_Bus,Affected_Phase,Active_Sensitivity,Reactive_Sensitivity,V0,V_PF,V_TJSM,Error_Percent_V_TJSM
1,0,1.0,28,2,-0.1013,-0.0986,0.9726,0.9724,0.9724,-0.0004791627
1,0,1.0,29,0,3.0417,10.1173,1.0009,1.0126,1.0128,0.0180486891
1,0,1.0,29,1,0.1143,-0.0527,1.0423,1.0423,1.0423,0.0001856165
1,0,1.0,29,2,-0.1012,-0.0983,0.9741,0.9739,0.9739,-0.000477696
1,0,1.0,30,0,3.0503,10.1902,0.9935,1.0053,1.0055,0.0183849105
1,0,1.0,30,1,0.1297,-0.0672,1.0481,1.0482,1.0482,0.0001949953
1,0,1.0,30,2,-0.1212,-0.1104,0.9743,0.974,0.974,-0.0005573134
1,0,1.0,31,0,3.0511,10.212,0.9918,1.0036,1.0037,0.0184777888
1,0,1.0,31,1,0.1344,-0.0715,1.0489,1.049,1.049,0.0001986439
1,0,1.0,31,2,-0.1273,-0.1141,0.9726,0.9724,0.9723,-0.0005829219
1,0,1.0,32,0,3.0437,10.2132,0.9921,1.0039,1.0041,0.0184638618
1,0,1.0,32,1,0.1345,-0.0711,1.0494,1.0495,1.0495,0.0001995576
1,0,1.0,32,2,-0.1277,-0.1145,0.9694,0.9692,0.9692,-0.000586764
1,0,1.0,33,0,3.0438,10.2132,0.9921,1.0039,1.0041,0.0184644673
1,0,1.0,33,1,0.1345,-0.0712,1.0494,1.0495,1.0495,0.0001995585
1,0,1.0,33,2,-0.1277,-0.1144,0.9698,0.9696,0.9696,-0.0005863236
1,0,1.0,34,0,2.9977,9.7434,1.0322,1.0435,1.0437,0.0164749217
1,0,1.0,34,1,0.0265,0.0013,1.0403,1.0404,1.0404,6.92496e-05
1,0,1.0,34,2,-0.0117,-0.0285,1.0006,1.0005,1.0005,-8.71058e-05
1,0,1.0,35,0,3.0154,9.8719,1.0193,1.0308,1.031,0.0170326211
1,0,1.0,35,1,0.0583,-0.0037,1.0425,1.0425,1.0425,0.0001391974
1,0,1.0,35,2,-0.03,-0.056,0.9937,0.9936,0.9936,-0.000191322
1,0,1.0,36,0,2.9605,9.76,0.9928,1.0042,1.0043,0.0173803662
1,0,1.0,36,1,0.0771,-0.0209,1.0223,1.0224,1.0224,0.0001558924
1,0,1.0,36,2,-0.0548,-0.0703,0.9662,0.9661,0.9661,-0.0002951212
1,0,2.0,1,0,2.9817,9.6527,1.0396,1.0618,1.0625,0.0623199967
1,0,2.0,1,1,0.0026,0.0016,1.0475,1.0475,1.0475,3.723e-05
1,0,2.0,1,2,-0.0011,-0.0071,1.0111,1.0111,1.0111,-6.51713e-05
1,0,2.0,2,0,2.9933,9.7408,1.0319,1.0543,1.0549,0.0636975318
1,0,2.0,2,1,0.0259,0.0018,1.0436,1.0436,1.0436,0.0002662139
1,0,2.0,2,2,-0.0109,-0.0281,1.002,1.002,1.002,-0.0003272461
1,0,2.0,3,0,3.0071,9.8406,1.0222,1.0448,1.0455,0.0653387685
1,0,2.0,3,1,0.0521,0.0022,1.0428,1.0429,1.0429,0.0005255472
1,0,2.0,3,2,-0.022,-0.0521,0.9948,0.9946,0.9946,-0.0006319114
1,0,2.0,4,0,3.0127,9.7722,1.0307,1.0531,1.0538,0.0642073769
1,0,2.0,4,1,0.0341,-0.0055,1.0368,1.0368,1.0368,0.0002952532
1,0,2.0,4,2,-0.0211,-0.033,0.9993,0.9992,0.9992,-0.0004673014
1,0,2.0,5,0,2.994,9.7426,1.0321,1.0545,1.0552,0.0637079681
1,0,2.0,5,1,0.0263,0.0015,1.0419,1.0419,1.0419,0.0002681516
1,0,2.0,5,2,-0.0113,-0.0284,1.0003,1.0002,1.0002,-0.0003339112
1,0,2.0,6,0,3.0249,9.7699,1.0326,1.0551,1.0558,0.0641629086
1,0,2.0,6,1,0.0343,-0.0054,1.0295,1.0295,1.0295,0.0003018772
1,0,2.0,6,2,-0.0212,-0.0331,0.9974,0.9973,0.9973,-0.0004701125
1,0,2.0,7,0,3.0402,9.7671,1.0338,1.0564,1.0571,0.0641692948
1,0,2.0,7,1,0.0346,-0.0055,1.0206,1.0207,1.0207,0.0003081976
1,0,2.0,7,2,-0.0213,-0.033,0.9975,0.9974,0.9974,-0.0004709045
1,0,2.0,8,0,3.0259,10.0068,1.0091,1.032,1.0327,0.0679664525
1,0,2.0,8,1,0.0892,-0.0308,1.0442,1.0443,1.0443,0.0006409363
1,0,2.0,8,2,-0.0694,-0.0796,0.983,0.9828,0.9828,-0.0013555561
1,0,2.0,9,0,3.021,9.9592,1.0131,1.0359,1.0366,0.0671998652
1,0,2.0,9,1,0.0787,-0.0213,1.0431,1.0433,1.0433,0.0006091684
1,0,2.0,9,2,-0.0559,-0.0717,0.9859,0.9857,0.9857,-0.0011476937
1,0,2.0,10,0,3.0354,10.1185,1.0005,1.0235,1.0243,0.0697463946
1,0,2.0,10,1,0.114,-0.0526,1.0454,1.0456,1.0456,0.0007194964
1,0,2.0,10,2,-0.1012,-0.0984,0.9737,0.9733,0.9733,-0.0018592317
